Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
matrix-t75-xir-treadmill,Matrix T75 XIR Treadmill,"<h2>Premium Performance Treadmill</h2><p>The Matrix T75 XIR treadmill delivers an exceptional running experience with advanced cushioning technology and powerful performance. Perfect for serious runners and fitness enthusiasts.</p><h3>Key Features:</h3><ul><li>4.0 HP Johnson Drive System motor</li><li>22"" x 60"" running surface</li><li>Ultimate Deck System with advanced cushioning</li><li>Interactive training with Virtual Active technology</li><li>12% incline capability</li><li>Sprint 8 HIIT program included</li></ul><h3>Specifications:</h3><ul><li>Speed Range: 0.5 - 12 mph</li><li>Weight Capacity: 400 lbs</li><li>Display: 16"" touchscreen console</li><li>Connectivity: Bluetooth, Wi-Fi enabled</li></ul>",Johnson Health Tech,Sporting Goods > Exercise & Fitness > Cardio Training,Treadmill,"fitness,cardio,treadmill,premium,commercial-grade",TRUE,Color,Matte Black,,,,,T75-XIR-001,180000,shopify,5,deny,manual,4999.00,5499.00,TRUE,TRUE,,,,,,Matrix T75 XIR Treadmill - Premium Running Experience,Experience professional-grade performance with the Matrix T75 XIR treadmill featuring advanced cushioning and interactive training technology.,Sporting Goods > Exercise & Fitness > Cardio Training,Unisex,Adult,T75-XIR-001,Treadmills,Premium,New,FALSE,Premium,Commercial Grade,Cardio,Treadmill,,,g,,3499.00,active
matrix-t75-xir-treadmill,Matrix T75 XIR Treadmill,,Johnson Health Tech,Sporting Goods > Exercise & Fitness > Cardio Training,Treadmill,"fitness,cardio,treadmill,premium,commercial-grade",TRUE,Color,Titanium,,,,,T75-XIR-002,180000,shopify,5,deny,manual,4999.00,5499.00,TRUE,TRUE,,,,,,,,Sporting Goods > Exercise & Fitness > Cardio Training,Unisex,Adult,T75-XIR-002,Treadmills,Premium,New,FALSE,Premium,Commercial Grade,Cardio,Treadmill,,,g,,3499.00,active
matrix-a50-ascent-trainer,Matrix A50 Ascent Trainer,"<h2>Revolutionary 3-in-1 Cardio Machine</h2><p>The Matrix A50 Ascent Trainer combines the benefits of a stepper, elliptical, and climber in one innovative machine. Experience versatile low-impact training with infinite stride paths.</p><h3>Key Features:</h3><ul><li>Suspension Elliptical Technology for natural movement</li><li>0-40 degree incline range</li><li>3-in-1 workout versatility</li><li>WhisperStride belt drive system</li><li>Exact Force induction brake</li><li>Virtual Active technology included</li></ul><h3>Specifications:</h3><ul><li>Stride Length: Adjustable up to 36""</li><li>Resistance Levels: 30 levels</li><li>Weight Capacity: 400 lbs</li><li>Display: 16"" touchscreen</li></ul>",Johnson Health Tech,Sporting Goods > Exercise & Fitness > Cardio Training,Ascent Trainer,"fitness,cardio,elliptical,low-impact,commercial-grade",TRUE,Color,Matte Black,,,,,A50-XIR-001,160000,shopify,8,deny,manual,4499.00,4999.00,TRUE,TRUE,,,,,,Matrix A50 Ascent Trainer - 3-in-1 Cardio Innovation,Revolutionary cardio training with the Matrix A50 Ascent Trainer combining stepper elliptical and climber in one machine.,Sporting Goods > Exercise & Fitness > Cardio Training,Unisex,Adult,A50-XIR-001,Ascent Trainers,Premium,New,FALSE,Premium,Commercial Grade,Cardio,3-in-1,,,g,,3149.00,active
matrix-u50-upright-bike,Matrix U50 Upright Bike,"<h2>Premium Upright Exercise Bike</h2><p>The Matrix U50 upright bike offers an authentic cycling experience with advanced ergonomics and commercial-grade construction. Ideal for serious cyclists and cardio enthusiasts.</p><h3>Key Features:</h3><ul><li>Exact Force induction brake system</li><li>Adjustable racing-style seat</li><li>Multi-position handlebars</li><li>Integrated Virtual Active technology</li><li>Self-balancing pedals with straps</li><li>Whisper-quiet operation</li></ul><h3>Specifications:</h3><ul><li>Resistance Levels: 30 levels</li><li>Weight Capacity: 350 lbs</li><li>Display: 16"" touchscreen console</li><li>Programs: 13 preset workouts</li><li>Connectivity: Bluetooth audio and data</li></ul>",Johnson Health Tech,Sporting Goods > Exercise & Fitness > Cardio Training,Upright Bike,"fitness,cardio,cycling,bike,low-impact",TRUE,Color,Matte Black,,,,,U50-XIR-001,85000,shopify,10,deny,manual,2799.00,3199.00,TRUE,TRUE,,,,,,Matrix U50 Upright Bike - Professional Cycling Experience,Professional upright bike with commercial-grade construction and Virtual Active technology for immersive cycling workouts.,Sporting Goods > Exercise & Fitness > Cardio Training,Unisex,Adult,U50-XIR-001,Exercise Bikes,Premium,New,FALSE,Premium,Commercial Grade,Cardio,Cycling,,,g,,1959.00,active
matrix-r50-recumbent-bike,Matrix R50 Recumbent Bike,"<h2>Comfort-Focused Recumbent Bike</h2><p>The Matrix R50 recumbent bike provides exceptional comfort and support with its ergonomic design. Perfect for users seeking low-impact cardiovascular training with superior back support.</p><h3>Key Features:</h3><ul><li>Ergonomic mesh seat with lumbar support</li><li>Step-through design for easy access</li><li>Exact Force induction brake</li><li>Heart rate monitoring grips</li><li>Virtual Active technology</li><li>Ultra-quiet belt drive</li></ul><h3>Specifications:</h3><ul><li>Resistance Levels: 30 levels</li><li>Weight Capacity: 350 lbs</li><li>Seat Adjustments: 16 positions</li><li>Display: 16"" touchscreen</li><li>Programs: 13 preset workouts plus custom</li></ul>",Johnson Health Tech,Sporting Goods > Exercise & Fitness > Cardio Training,Recumbent Bike,"fitness,cardio,cycling,bike,low-impact,comfort",TRUE,Color,Matte Black,,,,,R50-XIR-001,90000,shopify,10,deny,manual,2999.00,3399.00,TRUE,TRUE,,,,,,Matrix R50 Recumbent Bike - Comfort & Performance,Ergonomic recumbent bike with superior lumbar support and commercial-grade performance for comfortable cardio training.,Sporting Goods > Exercise & Fitness > Cardio Training,Unisex,Adult,R50-XIR-001,Exercise Bikes,Premium,New,FALSE,Premium,Commercial Grade,Cardio,Comfort,,,g,,2099.00,active
matrix-e50-elliptical,Matrix E50 Elliptical Trainer,"<h2>Smooth Elliptical Training Experience</h2><p>The Matrix E50 elliptical delivers natural fluid motion with advanced Suspension Elliptical Technology. Engineered for commercial durability with home-friendly aesthetics.</p><h3>Key Features:</h3><ul><li>Suspension Elliptical Technology</li><li>WhisperStride belt drive system</li><li>20"" stride length</li><li>Exact Force induction brake</li><li>Multi-position handlebars</li><li>Integrated tablet holder</li></ul><h3>Specifications:</h3><ul><li>Stride Length: 20 inches</li><li>Resistance Levels: 30 levels</li><li>Weight Capacity: 400 lbs</li><li>Display: LED console with metrics</li><li>Programs: 11 preset workouts</li></ul>",Johnson Health Tech,Sporting Goods > Exercise & Fitness > Cardio Training,Elliptical,"fitness,cardio,elliptical,low-impact,full-body",TRUE,Color,Matte Black,,,,,E50-001,140000,shopify,7,deny,manual,3299.00,3699.00,TRUE,TRUE,,,,,,Matrix E50 Elliptical - Natural Motion Technology,Experience smooth natural motion with the Matrix E50 elliptical featuring Suspension Elliptical Technology and commercial construction.,Sporting Goods > Exercise & Fitness > Cardio Training,Unisex,Adult,E50-001,Ellipticals,Premium,New,FALSE,Premium,Commercial Grade,Cardio,Low Impact,,,g,,2309.00,active
vision-s60-suspension-elliptical,Vision S60 Suspension Elliptical,"<h2>Premium Suspension Elliptical</h2><p>The Vision S60 suspension elliptical offers an ultra-smooth workout with its innovative suspension design. Perfect for users seeking joint-friendly cardio with advanced features.</p><h3>Key Features:</h3><ul><li>Patented Suspension Elliptical design</li><li>PerfectStride technology</li><li>Sprint 8 HIIT programming</li><li>21"" stride length</li><li>Integrated tablet holder</li><li>Bluetooth connectivity</li></ul><h3>Specifications:</h3><ul><li>Stride Length: 21 inches</li><li>Resistance: 20 levels</li><li>Weight Capacity: 350 lbs</li><li>Display: Elegant LED console</li><li>Programs: 12 workout programs</li></ul>",Johnson Health Tech,Sporting Goods > Exercise & Fitness > Cardio Training,Elliptical,"fitness,cardio,elliptical,low-impact,suspension",TRUE,Color,Titanium,,,,,S60-VIS-001,135000,shopify,6,deny,manual,2499.00,2899.00,TRUE,TRUE,,,,,,Vision S60 Suspension Elliptical - Ultra-Smooth Performance,Premium suspension elliptical with PerfectStride technology and Sprint 8 HIIT programming for effective cardio training.,Sporting Goods > Exercise & Fitness > Cardio Training,Unisex,Adult,S60-VIS-001,Ellipticals,Mid-Range,New,FALSE,Mid-Range,Home Fitness,Cardio,HIIT,,,g,,1749.00,active
horizon-7-4-at-treadmill,Horizon 7.4 AT Treadmill,"<h2>Advanced Treadmill for Home Training</h2><p>The Horizon 7.4 AT treadmill combines powerful performance with space-saving design. Features advanced cushioning and entertainment options for engaging workouts.</p><h3>Key Features:</h3><ul><li>3.5 HP Johnson Drive motor</li><li>22"" x 60"" running deck</li><li>Variable Response Cushioning</li><li>Rapid Sync music system</li><li>Bluetooth speaker system</li><li>Folding design with FeatherLight lift</li></ul><h3>Specifications:</h3><ul><li>Speed: 0.5 - 12 mph</li><li>Incline: 0-15% power incline</li><li>Weight Capacity: 375 lbs</li><li>Display: Advanced LED console</li><li>Programs: 10 preset workouts</li></ul>",Johnson Health Tech,Sporting Goods > Exercise & Fitness > Cardio Training,Treadmill,"fitness,cardio,treadmill,home,folding",TRUE,Color,Black,,,,,HZ-74AT-001,150000,shopify,12,deny,manual,1999.00,2299.00,TRUE,TRUE,,,,,,Horizon 7.4 AT Treadmill - Home Performance Excellence,Feature-rich treadmill with Variable Response Cushioning and Bluetooth connectivity for an exceptional home running experience.,Sporting Goods > Exercise & Fitness > Cardio Training,Unisex,Adult,HZ-74AT-001,Treadmills,Mid-Range,New,FALSE,Mid-Range,Home Fitness,Cardio,Folding,,,g,,1399.00,active
vision-s7100-hrt-elliptical,Vision S7100 HRT Suspension Elliptical,"<h2>Premium Suspension Elliptical with HRT Console</h2><p>The Vision S7100 HRT represents the pinnacle of elliptical technology with integrated entertainment and advanced biomechanics for natural movement patterns.</p><h3>Key Features:</h3><ul><li>Advanced Suspension Elliptical design</li><li>HRT integrated tablet console</li><li>Sprint 8 and custom HIIT programs</li><li>PerfectStride biomechanics</li><li>20 resistance levels</li><li>Built-in cooling fan</li></ul><h3>Specifications:</h3><ul><li>Stride: 20"" natural path</li><li>Weight Capacity: 350 lbs</li><li>Display: 10"" integrated tablet</li><li>Connectivity: Wi-Fi, Bluetooth, USB</li><li>Entertainment: Streaming apps enabled</li></ul>",Johnson Health Tech,Sporting Goods > Exercise & Fitness > Cardio Training,Elliptical,"fitness,cardio,elliptical,premium,entertainment,smart",TRUE,Color,Matte Black,,,,,S7100-HRT-001,145000,shopify,5,deny,manual,3799.00,4199.00,TRUE,TRUE,,,,,,Vision S7100 HRT - Smart Elliptical with Entertainment,Premium suspension elliptical with integrated tablet console entertainment and advanced biomechanics technology.,Sporting Goods > Exercise & Fitness > Cardio Training,Unisex,Adult,S7100-HRT-001,Ellipticals,Premium,New,FALSE,Premium,Smart Fitness,Cardio,Entertainment,,,g,,2659.00,active
matrix-mg-r50-rower,Matrix MG-R50 Rower,<h2>Commercial-Grade Rowing Machine</h2><p>The Matrix MG-R50 rower delivers an authentic on-water rowing experience with magnetic resistance and commercial construction. Perfect for full-body cardio conditioning.</p><h3>Key Features:</h3><ul><li>Smooth magnetic resistance system</li><li>Ergonomic molded seat</li><li>Pivoting footplates with straps</li><li>Aluminum rail construction</li><li>Foldable for storage</li><li>Performance monitor included</li></ul><h3>Specifications:</h3><ul><li>Resistance: 16 levels magnetic</li><li>Weight Capacity: 300 lbs</li><li>Display: Multi-function LCD</li><li>Rail Length: 96 inches</li><li>Programs: 8 workout programs</li></ul>,Johnson Health Tech,Sporting Goods > Exercise & Fitness > Cardio Training,Rower,"fitness,cardio,rowing,full-body,low-impact",TRUE,Color,Matte Black,,,,,MGR50-001,55000,shopify,10,deny,manual,1299.00,1499.00,TRUE,TRUE,,,,,,Matrix MG-R50 Rower - Full-Body Cardio Excellence,Commercial-grade magnetic rower with authentic rowing feel and durable aluminum construction for effective workouts.,Sporting Goods > Exercise & Fitness > Cardio Training,Unisex,Adult,MGR50-001,Rowers,Mid-Range,New,FALSE,Mid-Range,Commercial Grade,Cardio,Full Body,,,g,,909.00,active
performance-plus-adjustable-bench,Performance Plus Adjustable Bench,"<h2>Professional Strength Training Bench</h2><p>The Performance Plus adjustable bench provides stable versatile support for comprehensive strength training. Commercial-grade construction meets home gym aesthetics.</p><h3>Key Features:</h3><ul><li>7 back pad positions (decline to 85Â°)</li><li>4 seat pad positions</li><li>Commercial-grade vinyl upholstery</li><li>Heavy-duty steel frame</li><li>Transport wheels for mobility</li><li>Integrated resistance band anchors</li></ul><h3>Specifications:</h3><ul><li>Weight Capacity: 600 lbs</li><li>Dimensions: 52"" L x 26"" W x 50"" H</li><li>Bench Pad: 4"" thick high-density foam</li><li>Frame: 11-gauge steel</li></ul>",Johnson Health Tech,Sporting Goods > Exercise & Fitness > Strength Training,Strength Equipment,"fitness,strength,bench,adjustable,weight-training",TRUE,Color,Matte Black,,,,,PPB-ADJ-001,45000,shopify,15,deny,manual,599.00,699.00,TRUE,TRUE,,,,,,Performance Plus Bench - Professional Strength Training,Heavy-duty adjustable bench with commercial construction for comprehensive strength training from decline to shoulder press.,Sporting Goods > Exercise & Fitness > Strength Training,Unisex,Adult,PPB-ADJ-001,Strength Equipment,Premium,New,FALSE,Premium,Commercial Grade,Strength,Adjustable,,,g,,419.00,active
performance-plus-adjustable-bench,Performance Plus Adjustable Bench,,Johnson Health Tech,Sporting Goods > Exercise & Fitness > Strength Training,Strength Equipment,"fitness,strength,bench,adjustable,weight-training",TRUE,Color,Red Accent,,,,,PPB-ADJ-002,45000,shopify,15,deny,manual,599.00,699.00,TRUE,TRUE,,,,,,,,Sporting Goods > Exercise & Fitness > Strength Training,Unisex,Adult,PPB-ADJ-002,Strength Equipment,Premium,New,FALSE,Premium,Commercial Grade,Strength,Adjustable,,,g,,419.00,active
premium-dumbbell-set,Premium Rubberized Dumbbell Set,"<h2>Complete Dumbbell Collection</h2><p>Professional-grade rubberized dumbbell set ranging from 5 to 50 lbs. Perfect for progressive strength training with durable rubber coating to protect floors and reduce noise.</p><h3>Set Includes:</h3><ul><li>Pairs: 5, 10, 15, 20, 25, 30, 35, 40, 45, 50 lbs</li><li>Heavy-duty rubber coating</li><li>Contoured chrome handles</li><li>3-tier storage rack included</li><li>Easy-to-read weight markings</li></ul><h3>Specifications:</h3><ul><li>Material: Cast iron with rubber coating</li><li>Handle: Knurled chrome-plated steel</li><li>Total Weight: 550 lbs</li><li>Rack Dimensions: 66"" W x 24"" D x 32"" H</li></ul>",Johnson Health Tech,Sporting Goods > Exercise & Fitness > Strength Training,Strength Equipment,"fitness,strength,dumbbells,free-weights,complete-set",TRUE,Set Type,Complete Set (5-50 lbs),,,,,DB-SET-COMP,250000,shopify,5,deny,manual,1899.00,2199.00,TRUE,TRUE,,,,,,Premium Rubberized Dumbbell Set - Complete Strength Solution,Professional dumbbell set with rubberized coating and storage rack for comprehensive strength training programs.,Sporting Goods > Exercise & Fitness > Strength Training,Unisex,Adult,DB-SET-COMP,Dumbbells,Premium,New,FALSE,Premium,Complete Set,Strength,Free Weights,,,g,,1329.00,active
premium-dumbbell-set,Premium Rubberized Dumbbell Set,,Johnson Health Tech,Sporting Goods > Exercise & Fitness > Strength Training,Strength Equipment,"fitness,strength,dumbbells,free-weights,complete-set",TRUE,Set Type,Starter Set (5-30 lbs),,,,,DB-SET-START,120000,shopify,8,deny,manual,899.00,1099.00,TRUE,TRUE,,,,,,,,Sporting Goods > Exercise & Fitness > Strength Training,Unisex,Adult,DB-SET-START,Dumbbells,Mid-Range,New,FALSE,Mid-Range,Starter Set,Strength,Free Weights,,,g,,629.00,active
professional-resistance-band-kit,Professional Resistance Band Kit,"<h2>Complete Resistance Training System</h2><p>Versatile resistance band kit with five resistance levels for comprehensive strength and flexibility training. Portable design perfect for home gym or travel workouts.</p><h3>Kit Includes:</h3><ul><li>5 resistance bands (5-30 lbs equivalent)</li><li>2 cushioned handles</li><li>2 ankle straps</li><li>Door anchor system</li><li>Mesh carrying bag</li><li>Workout guide included</li></ul><h3>Specifications:</h3><ul><li>Material: Premium latex-free rubber</li><li>Resistance Levels: Light, Medium, Heavy, X-Heavy, XX-Heavy</li><li>Handles: Foam-padded comfort grips</li><li>Length: 48"" per band</li></ul>",Johnson Health Tech,Sporting Goods > Exercise & Fitness > Strength Training,Accessories,"fitness,resistance-bands,portable,accessories,strength",TRUE,Color,Black,,,,,RB-KIT-001,2000,shopify,50,deny,manual,79.00,99.00,TRUE,TRUE,,,,,,Professional Resistance Band Kit - Complete Training System,Versatile resistance band system with five levels and accessories for full-body strength and flexibility training anywhere.,Sporting Goods > Exercise & Fitness > Strength Training,Unisex,Adult,RB-KIT-001,Accessories,Affordable,New,FALSE,Affordable,Portable,Strength,Resistance,,,g,,45.00,active
premium-exercise-mat,Premium Exercise Mat,"<h2>Professional-Grade Exercise Mat</h2><p>Extra-thick premium exercise mat provides superior cushioning and support for yoga floor exercises and stretching. Non-slip surface ensures stability during intense workouts.</p><h3>Features:</h3><ul><li>6mm thick high-density foam</li><li>Non-slip textured surface</li><li>Moisture-resistant material</li><li>Easy to clean and maintain</li><li>Includes carrying strap</li><li>Eco-friendly construction</li></ul><h3>Specifications:</h3><ul><li>Dimensions: 72"" L x 24"" W x 0.25"" thick</li><li>Material: TPE (non-toxic PVC-free)</li><li>Weight: 2.5 lbs</li><li>Colors: Multiple options available</li></ul>",Johnson Health Tech,Sporting Goods > Exercise & Fitness > Yoga & Pilates,Accessories,"fitness,yoga,mat,accessories,floor-exercise",TRUE,Color,Matte Black,,,,,MAT-PREM-BLK,1200,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,,,,,Premium Exercise Mat - Superior Cushioning & Support,Professional 6mm thick exercise mat with non-slip surface for yoga floor exercises and stretching workouts.,Sporting Goods > Exercise & Fitness > Yoga & Pilates,Unisex,Adult,MAT-PREM-BLK,Accessories,Affordable,New,FALSE,Affordable,Yoga,Floor Exercise,Non-Slip,,,g,,25.00,active
premium-exercise-mat,Premium Exercise Mat,,Johnson Health Tech,Sporting Goods > Exercise & Fitness > Yoga & Pilates,Accessories,"fitness,yoga,mat,accessories,floor-exercise",TRUE,Color,Charcoal Gray,,,,,MAT-PREM-GRY,1200,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,,,,,,,Sporting Goods > Exercise & Fitness > Yoga & Pilates,Unisex,Adult,MAT-PREM-GRY,Accessories,Affordable,New,FALSE,Affordable,Yoga,Floor Exercise,Non-Slip,,,g,,25.00,active
premium-exercise-mat,Premium Exercise Mat,,Johnson Health Tech,Sporting Goods > Exercise & Fitness > Yoga & Pilates,Accessories,"fitness,yoga,mat,accessories,floor-exercise",TRUE,Color,Deep Blue,,,,,MAT-PREM-BLU,1200,shopify,100,deny,manual,49.00,69.00,TRUE,TRUE,,,,,,,,Sporting Goods > Exercise & Fitness > Yoga & Pilates,Unisex,Adult,MAT-PREM-BLU,Accessories,Affordable,New,FALSE,Affordable,Yoga,Floor Exercise,Non-Slip,,,g,,25.00,active
